번호,단어,의미
1,person,사람
2,clothes,"천, 옷감"
3,life,"삶, 생명"
4,movie,영화
5,job,"일, 직업"
6,activity,활동
7,country,"국가, 시골"
8,example,"예, 사례"
9,earth,"지구, 흙"
10,dialogue,대화
11,problem,문제
12,letter,편지
13,way,"길, 방법"
14,fire,"불, 해고하다"
15,language,언어
16,minute,분
17,story,"이야기, 층"
18,part,"부분, 일부"
19,lot,"운, 운세"
20,plan,계획
21,name,이름
22,plant,"식물, 심다"
23,hand,"손, 건네다"
24,park,"공원, 주차하다"
25,place,장소
26,call,"부르다, 전화하다"
27,practice,"연습, 실천"
28,try,노력하다
29,work,"일, 작품"
30,need,필요로 하다
31,use,사용하다
32,keep,"지키다, 유지하다"
33,kind,"친절한, 종류"
34,listen,듣다
35,fun,재미
36,find,"찾다, 발견하다"
37,future,미래
38,learn,배우다
39,have,가지다
40,live,살다
41,make,만들다
42,mean,의미하다
43,let,~하게 해주다
44,last,지속하다
45,get,"얻다, 취하다"
46,any,어떤
47,take,가져가다
48,each,각각의
49,different,"다른, 다양한"
50,other,다른
51,important,중요한
52,another,또 다른
53,right,"옳은, 권리"
54,same,같은
55,sure,확실한
56,too,"또한, 너무"
57,well,"잘, 우물"
58,also,또한
59,hard,"딱딱한, 열심히"
60,really,정말로
61,bird,새
62,nature,"자연, 본성"
63,restaurant,식당
64,state,"상태, 진술하다"
65,trip,"여행, 출장"
66,island,섬
67,vacation,"휴가, 방학"
68,group,"무리, 무리 짓다"
69,space,"공간, 우주"
70,soldier,군인
71,street,거리
72,habit,습관
73,side,"측, 입장"
74,culture,문화
75,paper,종이
76,history,역사
77,newspaper,신문
78,information,정보
79,face,"얼굴, 마주하다"
80,advertisement,광고
81,mind,"마음, 꺼리다"
82,science,과학
83,change,변화하다
84,war,전쟁
85,visit,방문하다
86,store,"상점, 저장하다"
87,start,시작하다
88,sound,"소리, 들리다"
89,watch,주시하다
90,point,"핵심, 가리키다"
91,light,"빛, 가벼운"
92,land,착륙하다
93,present,"현재, 선물"
94,turn,"차례, 회전하다"
95,middle,중간의
96,fly,"날다, 파리"
97,favorite,좋아하는
98,begin,시작하다
99,enjoy,즐기다
100,grow,자라다
101,win,"이기다, 획득하다"
102,believe,믿다
103,understand,이해하다
104,worry,걱정하다
105,warm,따뜻한
106,save,"구하다, 저장하다"
107,clean,청소하다
108,please,만족시키다
109,own,"자신의, 소유하다"
110,easy,쉬운
111,interesting,흥미로운
112,poor,"가난한, 어설픈"
113,famous,유명한
114,such,"그러한, 그렇게"
115,special,특별한
116,just,"단지, 정당한"
117,fast,빠른
118,back,"뒤, 등"
119,only,"오직, 유일한"
120,always,항상
121,village,마을
122,neighbor,"이웃, 동네"
123,forest,숲
124,pet,애완동물
125,leaf,나뭇잎
126,bottle,병
127,vegetable,채소
128,art,"예술, 기술"
129,office,사무실
130,poem,시
131,machine,기계
132,subject,"과목, 주제"
133,area,"지역, 영역"
134,weekend,주말
135,piece,조각
136,price,왕자
137,grace,"은혜, 은총"
138,custom,관습
139,spring,"봄, 샘물, 튀다"
140,fact,사실
141,rock,"바위, 흔들다"
142,rule,"규칙, 통치하다"
143,line,선
144,break,"깨다, 휴식"
145,exercise,운동하다
146,check,확인하다
147,end,"끝, 목적"
148,stay,머물다
149,cook,요리하다
150,bring,가져오다
151,fall,"떨어지다, 가을"
152,build,"짓다, 축적하다"
153,front,"앞, 전면"
154,join,합류하다
155,second,"두 번째, 초"
156,lose,"지다, 길을 잃다"
157,cold,"추운, 감기"
158,die,죽다
159,happen,일어나다
160,half,절반의
161,leave,"떠나다, 방치하다"
162,few,거의 없는
163,remember,기억하다
164,both,둘 다
165,wear,"입다, 닳다"
166,sick,아픈
167,move,움직이다
168,busy,바쁜
169,send,보내다
170,real,"실제의, 진정한"
171,large,"큰, 거대한"
172,wrong,잘못된
173,hot,"뜨거운, 매운"
174,most,대부분의
175,early,일찍
176,late,늦은
177,often,"종종, 자주"
178,together,함께
179,sometimes,때때로
180,even,"심지어, 평평한"
181,health,건강
182,brain,두뇌
183,holiday,휴일
184,voice,목소리
185,gift,"선물, 재능"
186,opinion,의견
187,field,"분야, 들판"
