번호,단어,의미
1,a/an,하나의
2,about,~에 대해
3,above,~보다 위에
4,able,~할 수 있는
5,accident,"사고, 우연"
6,"act(actual,interact)","행동하다 (실제의, 소통하다)"
7,add,"더하다, 추가하다"
8,address,주소
9,adult,"성인, 어른"
10,adventure,모험
11,advertise,"광고하다, 알리다"
12,advise,"조언하다, 충고하다"
13,afraid,"두려워하는, 겁내는"
14,after,~후에
15,afternoon,오후
16,again,다시
17,against,~에 반대하여
18,age,"나이, 연령"
19,ago,~전에
20,agree(disagree),"동의하다 (↔ 뜻이 다르다, 동의하지 않다)"
21,ahead,"앞으로, 앞에"
22,aim,"목적, 목표"
23,airline,항공사
24,airplane,비행기
25,airport,공항
26,album,"앨범, 음악 모음, 사진첩 등"
27,alive,"살아있는, 생기있는"
28,all,모든
29,allow,"허락하다, 용납하다"
30,almost,"거의, 대부분"
31,alone,"혼자, 외로운"
32,along,~을 따라
33,aloud,"소리내어, 큰소리로"
34,already,"이미, 벌써"
35,alright,"괜찮은, 알았어, 좋아 (all right)"
36,also,또한
37,although,"비록 ~이긴 하지만, 그러나"
38,always,"늘, 항상"
39,amaze,놀라게 하다 (amazing)
40,amount,"총액, 액수, (무엇의) 양"
41,amuse,즐겁게 하다 (amuzement park)
42,and,그리고
43,angel,천사
44,anger,"화, 분노"
45,animal,동물
46,anniversary,기념일
47,another,"또 하나, 더, 다른"
48,answer,답하다
49,any,"어느, 어떤"
50,apartment,아파트
51,apology,"사과, 양해를 구하는 말"
52,appear(disappear),나타나다 (↔사라지다)
53,apple,사과
54,appreciate,"고마워하다, 환영하다"
55,approach,"다가가다, 접근법"
56,architect(architecture),"건축가 (건축, 건축물)"
57,area,"지역, 구역"
58,arm,팔
59,around,"주변에, 사방에"
60,arrive,도착하다
61,arrow,"화살, 화살표"
62,art,"미술, 예술"
63,article,"(신문, 잡지의) 글, 기사"
64,as,~처럼
65,ask,묻다
66,asleep,"잠이 든, 자고 있는"
67,at,~에서
68,attack,공격하다
69,attention,"주의, 주목"
70,audience,"청중, 시청자"
71,aunt,"고모, 이모, 아줌마"
72,automatic,자동의
73,autumn,가을 (fall)
74,avail(available),도움이 되다 (이용할 수 있는)
75,average,평균의
76,awake,"깨어있는, 잠들지 않은"
77,award,"상, 수여하다"
78,away,"떨어져, 다른 곳으로"
79,baby,아기
80,back,"등, 뒤쪽"
81,background,배경
82,bad,나쁜
83,badminton,배드민턴
84,bag,가방
85,bake,"굽다, 구워지다"
86,balance,"균형, 균형을 유지하다"
87,ball,공
88,balloon,풍선
89,banana,바나나
90,bank,은행
91,base,"맨 아랫 부분, 기초"
92,baseball,야구
93,basket,바구니
94,basketball,농구
95,bat,"야구방망이(배트), 박쥐"
96,bath,"욕조, 목욕시키다"
97,be,"있다, 존재하다"
98,beach,해변
99,bear,곰
100,beauty,아름다움
101,beautiful,아름다운
102,because,"~때문에, 왜냐하면"
103,become,~이 되다
104,bed,침대
105,bee,벌
106,beef,소고기
107,before,"~앞에, ~전에"
108,beg,"간청하다, 애원하다"
109,begin,시작하다
110,behave(behavior),"행동하다 (행동, 태도)"
111,behind,~뒤에
112,believe,믿다
113,bell,"종, 종소리"
114,below,~아래에
115,belt,"벨트, 허리띠"
116,bench,벤치
117,beside,~옆에
118,between,~사이에
119,beyond,"~저편에, 너머"
120,big,큰
121,bike,"자전거, 오토바이"
122,bill,"청구서, 계산서"
123,billion,10억
124,bird,새
125,birth,"탄생, 출생 (birthday)"
126,biscuit,비스킷
127,bite,"물다, 한 입 베어 문"
128,bitter,"격렬한, 억울한, 쓴 맛"
129,black,검은색
130,blank,"빈, 빈칸, 여백"
131,blanket,담요
132,block,"사각형 덩어리, 건물, 막다"
133,blood,"피, 혈액"
134,blow,"(입으로) 불다, (바람이) 불다"
135,blue,파란색
136,board,"판자, 탑승하다, 승선하다"
137,boat,"배, 보트"
138,body,"몸, 신체"
139,bone,뼈
140,book,책
141,borrow,"빌리다, (돈을) 꾸다"
142,both,"둘다, ~뿐만 아니라 ~도"
143,bottle,병
144,bottom,"맨 아래, 아래쪽, 하의"
145,box,상자
146,boy,남자아이
147,brain,뇌
148,branch,"나뭇가지, 갈라지다"
149,bread,빵
150,break,"깨어지다, 고장나다"
151,breakfast,"아침식사, 아침을 먹다"
152,breath,숨
153,breathe,"숨쉬다, 호흡하다"
154,bridge,"다리, 다리를 놓다"
155,brief,"짧은, 잠시 동안의, (글의) 요약"
156,bright,"밝은, 눈부신"
157,bring,"가져오다, 데려오다"
158,brother,"형, 남동생"
159,brown,갈색
160,brush,"붓, 솔"
161,build,"짓다, 건설하다"
162,burn,"(불이) 타오르다, 화상"
163,bus,버스
164,bush,덤불
165,business,"사업, 장사, 업무"
166,busy,바쁜
167,but,"그러나, 하지만"
168,butter,버터
169,button,단추
170,buy,사다
171,by,"~옆에, ~에"
172,cake,케이크
173,calculate,계산하다
174,calendar,달력
175,call,"~라고 부르다, 전화"
176,calm,"침착한, 진정시키다"
177,camera,카메라
178,camp,"야영지, 텐트, 야영하다"
179,campaign,캠페인
180,cancel,취소하다
181,candy,사탕
182,cap,모자
183,card,카드
184,care,"돌봄, 보살핌"
185,career,"직업, 사회생활, 경력"
186,chicken,"닭, 닭고기"
187,child,어린이
188,cheap,값이 싼
189,chocolate,초콜릿
190,choice,선택
191,choose,"선택하다, 고르다"
192,church,교회
193,cinema,영화관
194,circle,"원형, 동그라미"
195,city,도시
196,class,"학급, 수업"
197,classic,"대표적인, 고전적인, 모범적인"
198,clean,깨끗한
199,clear,"분명한, 확실한"
200,clever,영리한
201,climb,"오르다, 등산"
202,clock,시계
203,close,"가까운, 닫다"
204,clothes,"옷, 의복"
205,cloud,구름
206,cow,"소, 젖소"
207,craft,"공예, 공예품을 만들다"
208,crawl,"기다, 기어가다"
209,crayon,크레용
210,crazy,"정상이 아닌, 미친듯이"
211,cream,크림
212,create(creature),"창조하다, 생물, 생명체"
213,credible(incredible),믿을 수 있는 (↔믿을 수 없는)
214,crisp,바삭바삭한
215,cross,"X 표, +기호, 십자, 건너다, 가로지르다"
216,crowd,"사람들, 군중"
217,crown,왕관
218,cruel,"잔혹한, 고통스러운, 괴로운"
219,cry,울다
220,culture,문화
221,cup,컵
222,curious(curiosity),"궁금한, 호기심이 많은 (호기심)"
223,curtain,커튼
224,customer,"손님, 고객"
225,cut,"베다, 자르다"
226,cute,귀여운
227,cycle,"자전거, 오토바이, 순환(recylce)"
228,dairy,"낙농의, 유제품의"
229,damage,"손상, 훼손, 손상을 주다"
230,dance,"춤, 춤추다"
231,danger,위험
232,dark,"어두운, 어둠"
233,date,"날짜, 시기"
234,daughter,딸
235,day,"하루, 날, 요일"
236,dead,죽은
237,death,죽음
238,delay,"지연, 미루다"
239,delicious,맛있는
240,deliver,배달하다
241,dentist,치과의사
242,depend,"의존하다, 의지하다"
243,desk,책상
244,detail,세부 사항
245,dialogue,"대화, 대담"
246,die,죽다
247,dinner,저녁식사
248,dirt(dirty),"먼지, 때 (더러운)"
249,distance,거리
250,dive,"뛰어들다, 다이빙하다"
251,do,(어떤 동작이나 행위를) 하다
252,doll,인형
253,dolphin,돌고래
254,door,문
255,doubt,"의심, 의혹, 의심하다"
256,draw,그리다
257,dream,꿈
258,drop,"떨어지다, 떨어뜨리다"
259,drug,약물
260,early,"이른, 예상보다 빨리"
261,easy,"쉬운, 수월한"
262,eat,먹다
263,economy,경제
264,effort,"수고, 노력"
265,egg,달걀
266,element,"요소, 성분"
267,elephant,코끼리
268,emergency,"비상, 응급"
269,emotion,감정
270,empty,"비어 있는, 빈"
271,end,"끝, 끝나다"
272,engine,엔진
273,engineer,엔지니어
274,envelope,"봉투, 감싸다"
